model,label,no_trade_mean,no_trade_std,winning_ratio_mean,winning_ratio_std,profit_average_mean,profit_average_std,loss_average_mean,loss_average_std,payoff_ratio_mean,payoff_ratio_std,profit_factor_mean,profit_factor_std,final_cumulative_profit_mean,final_cumulative_profit_std,final_cumulative_return_mean,final_cumulative_return_std,MaxDrawdown_mean,MaxDrawdown_std,MaxDrawdown_rate_mean,MaxDrawdown_rate_std
LSTM,Signal_trend,17.0,3.332,0.59,0.1,6.822,5.697,-6.089,6.451,1.496,0.964,2.457,2.118,25.908,33.551,16.418,18.272,-23.504,27.795,-11.256,6.859
Self_Multi_Modal,Signal_origin,29.033,6.61,0.569,0.096,5.35,4.752,-4.798,4.813,1.222,0.497,1.872,1.947,25.668,47.611,12.715,13.358,-25.183,25.019,-14.412,9.378
Self_Multi_Modal,Signal_trend,31.4,6.785,0.532,0.086,4.839,4.126,-4.539,4.691,1.259,0.503,1.494,0.743,12.308,27.291,10.079,16.156,-28.39,29.411,-13.973,5.781
Self_only_IMG,Signal_origin,33.067,7.57,0.563,0.094,5.567,5.941,-4.565,5.016,1.241,0.454,1.77,1.052,37.341,64.881,15.645,19.453,-26.171,25.981,-15.246,8.331
Self_only_IMG,Signal_trend,33.7,6.363,0.542,0.054,4.877,4.131,-4.416,4.841,1.205,0.349,1.457,0.532,22.079,25.762,12.113,13.423,-27.787,26.648,-15.266,8.433
Self_only_TA,Signal_origin,32.9,18.845,0.553,0.1,5.829,7.596,-4.379,4.852,1.573,1.024,2.194,1.716,23.291,42.223,18.363,30.314,-23.831,26.045,-12.185,7.561
Self_only_TA,Signal_trend,25.067,18.092,0.552,0.142,6.725,6.294,-5.213,7.104,2.101,2.423,5.229,13.668,24.982,53.324,12.551,19.581,-22.776,28.202,-11.671,7.707
TCN,Signal_origin,51.933,4.69,0.534,0.06,3.846,3.204,-3.579,3.06,1.132,0.343,1.294,0.368,23.851,46.445,11.133,15.07,-29.117,25.521,-16.372,8.629
TCN,Signal_trend,24.3,3.706,0.566,0.082,6.241,5.684,-5.249,4.525,1.293,0.588,1.737,0.974,29.728,43.227,15.658,17.526,-25.979,24.169,-13.957,6.837
Transformer,Signal_origin,6.3,1.915,0.634,0.184,13.091,13.188,-8.688,15.724,4.822,13.91,13.189,42.22,36.882,58.289,20.906,27.999,-13.569,17.372,-7.436,6.474
Transformer,Signal_trend,5.2,2.091,0.681,0.211,18.457,22.222,-9.199,16.183,7.1,17.695,19.329,53.738,42.754,50.742,25.001,25.583,-11.937,16.838,-5.337,5.213
