model,label,no_trade_mean,no_trade_std,winning_ratio_mean,winning_ratio_std,profit_average_mean,profit_average_std,loss_average_mean,loss_average_std,payoff_ratio_mean,payoff_ratio_std,profit_factor_mean,profit_factor_std,final_cumulative_profit_mean,final_cumulative_profit_std,final_cumulative_return_mean,final_cumulative_return_std,MaxDrawdown_mean,MaxDrawdown_std,MaxDrawdown_rate_mean,MaxDrawdown_rate_std
1D-CNN,Signal_origin,36.967,3.987,0.546,0.075,4.37,3.418,-4.557,4.637,1.164,0.41,1.452,0.612,12.634,43.348,11.345,18.632,-30.19,33.659,-14.796,7.641
1D-CNN,Signal_trend,23.167,3.696,0.58,0.074,5.679,4.799,-5.36,5.805,1.342,0.661,1.854,0.872,25.926,32.818,15.884,14.405,-22.8,23.838,-11.19,4.688
Cross_Multi_Modal,Signal_origin,33.467,9.857,0.551,0.083,5.013,4.82,-4.319,4.575,1.273,0.383,1.627,0.638,28.344,43.936,15.65,16.684,-27.612,30.633,-13.883,7.037
Cross_Multi_Modal,Signal_trend,31.333,6.702,0.554,0.078,5.031,4.057,-4.639,4.251,1.222,0.358,1.592,0.733,21.121,30.847,13.88,15.784,-27.179,26.089,-14.653,7.61
Cross_exclude_120,Signal_origin,28.8,4.246,0.546,0.07,5.153,4.813,-4.915,4.853,1.233,0.385,1.521,0.593,17.688,43.969,11.494,14.196,-29.671,33.295,-14.676,7.3
Cross_exclude_120,Signal_trend,28.5,6.191,0.546,0.073,5.553,5.125,-5.223,5.135,1.218,0.379,1.519,0.62,18.167,40.436,11.807,15.186,-30.973,34.803,-15.245,8.141
Cross_exclude_20,Signal_origin,31.567,7.152,0.562,0.07,5.247,5.114,-4.892,4.781,1.187,0.28,1.61,0.688,22.664,42.018,14.515,14.858,-29.84,34.829,-14.27,7.195
Cross_exclude_20,Signal_trend,28.833,5.534,0.553,0.075,5.312,5.209,-5.16,5.345,1.202,0.458,1.56,0.733,16.095,37.055,11.858,16.582,-28.355,31.814,-13.742,6.743
Cross_exclude_5,Signal_origin,42.667,16.031,0.53,0.081,5.717,8.467,-3.903,4.615,1.419,0.749,1.679,1.14,25.9,40.918,16.732,19.62,-30.058,35.002,-14.295,6.964
Cross_exclude_5,Signal_trend,33.133,10.827,0.574,0.1,5.301,5.422,-4.547,4.912,1.244,0.581,1.9,1.306,27.534,50.089,15.307,24.109,-28.861,33.344,-15.095,8.586
Cross_exclude_60,Signal_origin,31.2,6.144,0.551,0.08,5.115,4.777,-5.017,5.1,1.17,0.367,1.504,0.653,18.657,36.104,11.887,14.197,-30.828,33.673,-15.172,7.142
Cross_exclude_60,Signal_trend,28.467,4.833,0.561,0.074,5.379,5.337,-5.281,5.484,1.192,0.461,1.574,0.675,17.551,43.542,12.541,16.957,-28.863,31.734,-13.999,6.915
Cross_single_120,Signal_origin,37.1,16.695,0.543,0.118,5.224,5.289,-3.875,4.111,1.47,1.303,1.81,1.734,15.74,41.099,8.319,19.479,-29.71,34.911,-14.682,10.674
Cross_single_120,Signal_trend,38.233,15.587,0.554,0.137,5.044,4.743,-3.708,3.788,1.444,1.321,2.104,2.73,22.171,60.63,13.502,22.657,-31.074,41.544,-14.269,9.335
Cross_single_20,Signal_origin,40.1,16.502,0.546,0.101,4.32,4.681,-3.003,2.64,1.513,1.01,2.115,2.162,33.183,52.916,16.804,21.023,-23.296,20.756,-13.215,7.375
Cross_single_20,Signal_trend,42.467,18.243,0.543,0.088,4.505,3.628,-3.427,3.158,1.431,0.754,1.885,1.506,31.682,43.975,17.13,20.992,-27.121,26.104,-14.016,6.847
Cross_single_5,Signal_origin,30.3,5.377,0.544,0.088,5.2,4.697,-4.65,4.654,1.32,0.488,1.642,0.802,25.824,42.848,14.732,17.474,-31.043,35.486,-15.252,10.124
Cross_single_5,Signal_trend,29.933,5.099,0.552,0.094,5.483,4.613,-4.731,4.762,1.315,0.477,1.709,0.787,22.34,33.437,15.253,18.894,-26.007,27.666,-13.244,6.748
Cross_single_60,Signal_origin,45.0,19.115,0.556,0.087,4.489,4.521,-3.654,4.289,1.673,2.15,3.315,9.047,24.387,51.238,14.588,19.676,-27.305,35.435,-12.851,8.231
Cross_single_60,Signal_trend,33.667,14.845,0.544,0.091,5.765,8.307,-3.648,3.429,1.447,0.576,1.936,1.344,39.019,57.194,18.024,22.114,-19.215,15.77,-11.004,5.876
GRU,Signal_origin,25.8,4.73,0.563,0.093,4.908,3.637,-4.451,4.108,1.239,0.387,1.715,0.86,20.195,25.678,13.999,18.285,-23.778,22.31,-13.097,7.521
GRU,Signal_trend,15.067,3.279,0.607,0.117,6.161,4.974,-6.768,7.562,1.436,1.297,2.622,3.168,17.112,35.319,13.036,20.037,-23.059,24.379,-11.017,6.045
LSTM,Signal_origin,27.033,4.657,0.554,0.103,5.014,3.964,-4.399,3.806,1.203,0.392,1.6,0.799,15.618,27.936,12.898,20.884,-26.497,26.308,-13.475,6.428
