model,label,no_trade_mean,no_trade_std,winning_ratio_mean,winning_ratio_std,profit_average_mean,profit_average_std,loss_average_mean,loss_average_std,payoff_ratio_mean,payoff_ratio_std,profit_factor_mean,profit_factor_std,final_cumulative_profit_mean,final_cumulative_profit_std,final_cumulative_return_mean,final_cumulative_return_std,MaxDrawdown_mean,MaxDrawdown_std,MaxDrawdown_rate_mean,MaxDrawdown_rate_std
1D-CNN,Signal_origin,36.333,4.671,0.53,0.091,5.343,4.624,-4.321,3.35,1.276,0.703,1.497,0.911,27.999,57.686,15.97,28.503,-31.029,26.17,-18.633,15.376
1D-CNN,Signal_trend,25.167,5.106,0.564,0.118,5.541,4.547,-4.23,3.059,1.403,0.864,2.073,1.601,35.419,60.671,30.771,53.012,-22.916,20.654,-13.418,9.531
Cross_Multi_Modal,Signal_origin,33.333,7.222,0.555,0.084,5.717,5.635,-4.214,3.297,1.274,0.53,1.735,1.019,39.468,55.164,20.952,29.749,-24.899,19.852,-16.882,15.966
Cross_Multi_Modal,Signal_trend,34.033,5.81,0.545,0.086,5.008,3.972,-4.085,3.106,1.275,0.572,1.658,0.941,30.678,39.961,21.559,34.578,-26.649,22.41,-16.611,14.736
Cross_exclude_120,Signal_origin,30.4,5.55,0.556,0.085,5.326,4.622,-4.261,3.474,1.299,0.589,1.761,1.09,32.358,49.693,21.15,32.706,-24.504,21.237,-15.849,15.296
Cross_exclude_120,Signal_trend,29.433,5.475,0.562,0.092,5.551,5.022,-4.303,3.072,1.293,0.513,1.832,1.059,36.69,50.781,22.004,28.844,-26.447,20.529,-17.469,17.458
Cross_exclude_20,Signal_origin,33.133,6.356,0.548,0.073,5.289,4.646,-4.013,3.22,1.327,0.51,1.742,1.017,39.536,59.82,21.327,25.871,-23.629,20.453,-15.228,14.951
Cross_exclude_20,Signal_trend,29.767,5.309,0.543,0.081,5.463,5.239,-4.267,3.115,1.232,0.49,1.574,0.817,28.994,54.549,15.643,23.113,-27.224,24.802,-17.126,15.291
Cross_exclude_5,Signal_origin,44.333,17.955,0.546,0.081,4.438,3.528,-4.279,4.98,1.294,0.824,1.6,1.091,27.592,39.373,19.354,26.488,-28.593,25.318,-16.864,13.441
Cross_exclude_5,Signal_trend,37.633,12.042,0.535,0.077,4.698,3.689,-3.261,2.386,1.474,0.545,1.848,1.027,35.055,44.318,22.598,27.889,-22.342,18.545,-12.854,8.391
Cross_exclude_60,Signal_origin,33.1,5.635,0.547,0.089,5.139,4.574,-3.983,3.458,1.337,0.547,1.889,1.495,36.623,60.127,18.198,27.518,-23.874,19.706,-15.616,13.753
Cross_exclude_60,Signal_trend,30.1,5.326,0.545,0.087,5.384,5.173,-4.168,3.021,1.239,0.502,1.648,1.004,31.477,61.523,16.648,25.645,-26.773,24.994,-16.539,15.515
