model,label,no_trade_mean,no_trade_std,winning_ratio_mean,winning_ratio_std,profit_average_mean,profit_average_std,loss_average_mean,loss_average_std,payoff_ratio_mean,payoff_ratio_std,profit_factor_mean,profit_factor_std,final_cumulative_profit_mean,final_cumulative_profit_std,final_cumulative_return_mean,final_cumulative_return_std,MaxDrawdown_mean,MaxDrawdown_std,MaxDrawdown_rate_mean,MaxDrawdown_rate_std
Cross_single_120,Signal_origin,41.967,16.917,0.538,0.097,5.014,4.917,-3.764,2.799,1.338,0.758,1.936,2.715,32.48,49.155,23.666,38.714,-27.07,23.964,-15.608,12.256
Cross_single_120,Signal_trend,41.633,17.238,0.552,0.124,4.533,3.934,-3.66,2.726,1.142,0.654,1.559,1.636,15.119,34.393,15.782,47.728,-29.564,27.821,-15.631,11.939
Cross_single_20,Signal_origin,39.0,18.253,0.527,0.093,5.689,6.28,-3.663,2.461,1.418,0.84,1.588,0.825,28.289,53.872,18.542,34.702,-27.074,22.464,-17.432,15.103
Cross_single_20,Signal_trend,43.5,17.718,0.528,0.095,4.585,3.734,-3.671,2.977,1.243,0.428,1.568,1.039,24.585,57.881,15.732,34.186,-32.827,34.131,-17.623,14.481
Cross_single_5,Signal_origin,30.767,5.164,0.544,0.083,5.506,4.783,-4.277,2.971,1.275,0.602,1.648,0.919,37.402,62.288,21.332,32.029,-28.676,22.962,-17.182,11.2
Cross_single_5,Signal_trend,31.167,5.565,0.527,0.071,5.297,4.738,-4.024,2.65,1.237,0.574,1.419,0.632,26.383,40.81,14.095,23.6,-26.189,18.714,-16.797,12.147
Cross_single_60,Signal_origin,42.833,17.44,0.53,0.075,5.882,6.641,-3.548,2.802,1.569,1.214,1.927,1.859,38.699,76.819,21.231,29.129,-29.88,28.464,-15.336,8.836
Cross_single_60,Signal_trend,36.567,15.591,0.52,0.094,5.036,4.32,-3.345,2.597,1.466,0.739,1.786,1.64,27.091,37.163,14.613,20.205,-27.204,25.985,-14.636,11.106
GRU,Signal_origin,27.133,6.699,0.556,0.086,5.602,4.539,-4.029,3.223,1.504,0.872,2.092,1.558,37.866,66.218,25.547,36.632,-23.422,26.399,-13.745,9.229
GRU,Signal_trend,15.767,3.35,0.567,0.149,9.132,8.339,-5.402,4.886,2.147,1.936,4.828,9.408,40.424,46.767,29.217,43.747,-19.094,15.457,-11.199,7.929
LSTM,Signal_origin,26.4,3.635,0.547,0.078,5.86,4.726,-4.606,3.41,1.288,0.512,1.669,0.937,28.677,42.514,20.497,31.537,-25.228,21.673,-15.386,13.75
LSTM,Signal_trend,17.233,2.873,0.579,0.102,7.805,6.921,-5.444,4.411,1.581,1.108,2.486,2.242,39.172,50.777,25.099,36.807,-21.775,19.206,-12.781,8.947
Self_Multi_Modal,Signal_origin,30.2,6.84,0.532,0.089,5.835,5.096,-4.531,3.27,1.275,0.645,1.552,0.924,27.114,50.256,17.025,39.99,-28.98,23.62,-17.457,14.272
Self_Multi_Modal,Signal_trend,31.733,6.908,0.531,0.086,5.389,4.688,-4.101,3.338,1.328,0.545,1.623,0.917,32.127,44.109,21.918,35.647,-27.199,22.986,-16.445,13.165
Self_only_IMG,Signal_origin,34.367,7.775,0.54,0.089,5.828,5.816,-4.378,3.439,1.288,0.528,1.615,0.865,40.059,62.299,21.651,31.545,-26.037,16.327,-14.987,6.633
Self_only_IMG,Signal_trend,34.367,7.981,0.532,0.091,5.434,5.067,-3.996,3.242,1.33,0.484,1.612,0.74,33.011,42.677,20.74,31.536,-23.996,17.484,-15.254,12.277
Self_only_TA,Signal_origin,30.6,17.725,0.566,0.096,7.281,12.517,-6.404,9.64,1.129,0.657,1.643,1.392,29.027,50.66,11.681,19.472,-28.388,19.585,-18.897,16.482
Self_only_TA,Signal_trend,24.733,17.148,0.54,0.119,8.101,6.676,-5.313,4.642,1.602,1.005,2.209,2.046,36.648,47.433,25.923,41.981,-22.918,17.475,-13.372,9.199
TCN,Signal_origin,53.433,3.53,0.529,0.065,4.224,3.937,-3.533,2.818,1.126,0.414,1.28,0.468,28.573,54.011,16.204,28.281,-30.501,25.726,-18.93,12.487
TCN,Signal_trend,24.433,3.491,0.56,0.081,6.077,6.391,-4.885,3.678,1.227,0.611,1.633,0.899,28.694,54.346,21.984,37.953,-25.845,28.229,-14.427,8.584
Transformer,Signal_origin,7.367,2.456,0.652,0.218,12.375,13.415,-6.885,7.004,5.637,15.73,15.11,31.435,46.122,76.985,30.284,50.224,-15.686,22.027,-8.957,13.741
Transformer,Signal_trend,5.833,2.26,0.665,0.248,17.16,17.681,-7.413,8.84,1.831,2.331,2.541,2.731,46.304,61.928,32.48,55.092,-14.112,18.019,-6.872,6.311
